ExperimentName	Subject	Block	Trial	Category	Condition	Delay	DelayFixation.OffsetTime	DelayFixation.OnsetTime	Distractors	Go.OffsetTime	Go.OnsetTime	Novelty	Relevance	Stim.ACC	Stim.OffsetTime	Stim.OnsetTime	Stim.RT
TRSEscan	122	8	21	Scenes	Faces	4390	565672	561382	2			Novel	Irrelevant	1	561269	560779	466
TRSEscan	122	9	1		Categorize					72477	71487						
TRSEscan	122	9	2	Faces	Categorize	4390	79378	75088	0			Novel	Irrelevant	1	74975	74485	584
TRSEscan	122	9	3	Faces	Categorize	2390	82370	80080	0			Novel	Irrelevant	1	79967	79477	560
TRSEscan	122	9	4	Scenes	Categorize	2390	85368	83078	2			Novel	Irrelevant	1	82965	82475	570
TRSEscan	122	9	5	Faces	Categorize	6390	92367	86077	1			Novel	Irrelevant	1	85964	85474	419
TRSEscan	122	9	6	Faces	Categorize	4390	97368	93078	0			Repeat	Irrelevant	1	92965	92475	482
TRSEscan	122	9	7	Faces	Categorize	6390	104360	98070	0			Novel	Irrelevant	1	97957	97467	474
TRSEscan	122	9	8	Scenes	Categorize	2390	107362	105072	3			Novel	Irrelevant	1	104959	104469	616
TRSEscan	122	9	9	Faces	Categorize	4390	112360	108070	1			Novel	Irrelevant	1	107957	107467	530
TRSEscan	122	9	10	Faces	Categorize	6390	119352	113062	0			Repeat	Irrelevant	1	112949	112459	562
TRSEscan	122	9	11	Scenes	Categorize	4390	124354	120064	2			Novel	Irrelevant	1	119951	119461	632
TRSEscan	122	9	12	Scenes	Categorize	2390	127346	125056	0			Repeat	Irrelevant	1	124943	124453	832
TRSEscan	122	9	13	Faces	Categorize	4390	132344	128054	2			Repeat	Irrelevant	1	127941	127451	714
TRSEscan	122	9	14	Scenes	Categorize	2390	135336	133046	1			Novel	Irrelevant	1	132933	132443	594
TRSEscan	122	9	15	Faces	Categorize	6390	142334	136044	1			Novel	Irrelevant	1	135931	135441	612
TRSEscan	122	9	16	Scenes	Categorize	4390	147336	143046	1			Novel	Irrelevant	1	142933	142443	610
TRSEscan	122	9	17	Scenes	Categorize	6390	154328	148038	0			Repeat	Irrelevant	1	147925	147435	586
TRSEscan	122	9	18	Scenes	Categorize	2390	157330	155040	0			Repeat	Irrelevant	1	154927	154437	679
